source,target,amount,transaction_count
CUST000004,CUST002681,1763.35,1
CUST000004,CUST002699,1701.52,1
CUST000004,CUST002885,2114.86,1
CUST000004,CUST003026,1744.45,1
CUST000004,CUST003277,835.26,1
CUST000004,CUST003364,3041.35,1
CUST000004,CUST003494,1467.13,1
CUST000004,CUST003820,1477.31,1
CUST000004,CUST004178,1155.61,1
CUST000004,CUST004286,488.0,1
CUST000004,CUST004360,10439.46,1
CUST000004,CUST004452,573.01,1
CUST000004,CUST004528,536.49,1
CUST000004,CUST004662,1460.92,1
CUST000004,CUST004816,1233.52,1
CUST000004,CUST004845,2833.52,1
CUST000004,CUST004921,1737.94,1
CUST000004,CUST004980,891.5,1
CUST000004,CUST004999,861.55,1
CUST000005,AGT00001,807.28,1
CUST000005,AGT00002,300.42,1
CUST000005,AGT00037,1502.37,1
CUST000005,AGT00052,891.33,1
CUST000005,AGT00064,2847.54,1
CUST000005,AGT00091,950.72,1
CUST000005,AGT00097,1713.36,1
CUST000005,AGT00099,1596.51,1
CUST000005,AGT00148,2919.33,1
CUST000005,AGT00150,1802.68,1
CUST000005,AGT00186,1417.47,1
CUST000005,AGT00209,1325.25,1
CUST000005,AGT00253,503.27,1
CUST000005,AGT00298,1534.04,1
CUST000005,CUST000104,782.35,1
CUST000005,CUST000278,1581.8,1
CUST000005,CUST000594,1652.75,1
CUST000005,CUST000705,4119.85,1
CUST000005,CUST001338,722.68,1
CUST000005,CUST001855,14598.73,1
CUST000005,CUST002219,568.52,1
CUST000005,CUST002253,1081.59,1
CUST000005,CUST002517,782.57,1
CUST000005,CUST002536,501.01,1
CUST000005,CUST002586,3229.87,1
CUST000005,CUST002732,1017.33,1
CUST000005,CUST002864,2542.48,1
CUST000005,CUST003031,452.98,1
CUST000005,CUST003527,581.29,1
CUST000005,CUST003636,2902.64,1
CUST000005,CUST003934,1115.09,1
CUST000005,CUST004466,1886.67,1
CUST000005,CUST004505,809.94,1
CUST000005,CUST004576,1146.83,1
CUST000005,CUST004839,3137.2,1
CUST000006,AGT00009,2170.86,1
CUST000006,AGT00017,1892.63,1
CUST000006,AGT00021,2449.58,1
CUST000006,AGT00027,1399.92,1
CUST000006,AGT00029,572.03,1
CUST000006,AGT00037,2535.7599999999998,2
CUST000006,AGT00047,1392.41,1
CUST000006,AGT00067,1955.2,1
CUST000006,AGT00070,702.0,1
CUST000006,AGT00074,623.26,1
CUST000006,AGT00081,7951.74,1
CUST000006,AGT00100,2896.53,1
CUST000006,AGT00105,1609.4,1
CUST000006,AGT00122,1499.36,1
CUST000006,AGT00139,580.08,1
CUST000006,AGT00151,550.05,1
CUST000006,AGT00173,800.11,1
CUST000006,AGT00182,1081.25,1
CUST000006,AGT00195,1579.98,1
CUST000006,AGT00206,2145.03,1
CUST000006,AGT00208,1943.8,1
CUST000006,AGT00242,977.71,1
CUST000006,AGT00273,1501.69,1
CUST000006,AGT00278,1685.68,1
CUST000006,AGT00295,1596.04,1
CUST000006,CUST000042,1439.33,1
CUST000006,CUST000057,1170.33,1
CUST000006,CUST000068,2995.97,1
CUST000006,CUST000092,1332.9,1
CUST000006,CUST000103,1103.14,1
CUST000006,CUST000172,997.17,1
CUST000006,CUST000326,2687.26,1
CUST000006,CUST000385,727.96,1
CUST000006,CUST000520,1599.76,1
CUST000006,CUST000530,21510.34,1
CUST000006,CUST000752,2305.26,1
CUST000006,CUST000781,1716.51,1
CUST000006,CUST000821,750.64,1
CUST000006,CUST000962,1133.77,1
CUST000006,CUST000977,994.99,1
CUST000006,CUST001129,920.15,1
CUST000006,CUST001472,1272.84,1
CUST000006,CUST001555,735.78,1
CUST000006,CUST001847,910.24,1
CUST000006,CUST001850,1217.17,1
CUST000006,CUST001939,3208.0,1
CUST000006,CUST002095,1421.5,1
CUST000006,CUST002195,1892.89,1
CUST000006,CUST002230,1546.23,1
CUST000006,CUST002258,728.48,1
CUST000006,CUST002283,1167.41,1
CUST000006,CUST002311,2949.55,1
CUST000006,CUST002457,1106.48,1
CUST000006,CUST002553,1011.15,1
CUST000006,CUST002635,1686.91,1
CUST000006,CUST002708,618.13,1
CUST000006,CUST002776,1090.88,1
CUST000006,CUST002976,1883.98,1
CUST000006,CUST003063,1459.79,1
CUST000006,CUST003130,3536.14,1
CUST000006,CUST003180,780.94,1
CUST000006,CUST003214,1807.17,1
CUST000006,CUST003222,1104.17,1
CUST000006,CUST003242,1850.4,1
CUST000006,CUST003263,1386.05,1
CUST000006,CUST003271,3520.2,1
CUST000006,CUST003387,1470.64,1
CUST000006,CUST003407,1039.94,1
CUST000006,CUST003538,1269.95,1
CUST000006,CUST003673,1199.11,1
CUST000006,CUST003701,1375.52,1
CUST000006,CUST003725,948.92,1
CUST000006,CUST003980,1113.01,1
CUST000006,CUST004121,1677.89,1
CUST000006,CUST004168,1455.27,1
CUST000006,CUST004409,850.87,1
CUST000006,CUST004420,934.01,1
CUST000006,CUST004427,1226.58,1
CUST000006,CUST004461,1221.06,1
CUST000006,CUST004472,915.35,1
CUST000006,CUST004933,2607.77,1
CUST000006,CUST004957,1660.87,1
CUST000006,CUST004983,1164.62,1
CUST000007,AGT00013,645.63,1
CUST000007,AGT00015,396.01,1
CUST000007,AGT00031,923.59,1
CUST000007,AGT00040,170.07,1
CUST000007,AGT00046,252.36,1
CUST000007,AGT00048,250.43,1
CUST000007,AGT00063,532.21,1
CUST000007,AGT00076,800.73,1
CUST000007,AGT00144,1368.88,1
CUST000007,AGT00177,374.58,1
CUST000007,AGT00187,364.84,1
CUST000007,AGT00199,370.47,1
CUST000007,AGT00215,996.12,1
CUST000007,AGT00219,944.04,1
CUST000007,AGT00226,904.97,1
CUST000007,AGT00253,509.28,1
CUST000007,AGT00268,525.06,1
CUST000007,AGT00271,175.86,1
CUST000007,CUST000131,1105.36,1
CUST000007,CUST000515,512.32,1
CUST000007,CUST000785,6506.53,1
CUST000007,CUST000968,190.79,1
CUST000007,CUST001143,557.37,1
CUST000007,CUST001630,654.84,1
CUST000007,CUST001638,308.37,1
CUST000007,CUST001772,538.21,1
CUST000007,CUST001943,208.44,1
CUST000007,CUST002009,1108.49,1
CUST000007,CUST002094,866.62,1
CUST000007,CUST002148,546.23,1
CUST000007,CUST002318,828.31,1
CUST000007,CUST002341,521.18,1
CUST000007,CUST002620,529.74,1
CUST000007,CUST002635,473.76,1
CUST000007,CUST002698,312.35,1
CUST000007,CUST002988,302.55,1
CUST000007,CUST002993,1792.93,1
CUST000007,CUST003039,306.28,1
CUST000007,CUST003075,2017.95,1
CUST000007,CUST003214,492.93,1
CUST000007,CUST003327,694.12,1
CUST000007,CUST003337,631.03,1
CUST000007,CUST003345,1388.82,1
CUST000007,CUST003614,367.65,1
CUST000007,CUST003677,1020.31,1
CUST000007,CUST003770,1287.23,1
CUST000007,CUST003796,207.68,1
CUST000007,CUST003830,626.29,1
CUST000007,CUST004038,635.84,1
CUST000007,CUST004349,240.82,1
CUST000007,CUST004369,678.31,1
CUST000007,CUST004464,373.17,1
CUST000007,CUST004596,394.98,1
CUST000007,CUST004706,1214.59,1
CUST000007,CUST004837,400.32,1
CUST000007,CUST004891,464.22,1
CUST000008,AGT00003,960.96,1
CUST000008,AGT00011,1650.46,1
CUST000008,AGT00025,1138.47,1
CUST000008,AGT00027,687.07,1
CUST000008,AGT00035,1808.28,1
CUST000008,AGT00043,3067.11,1
CUST000008,AGT00053,3366.04,1
CUST000008,AGT00068,1291.96,1
CUST000008,AGT00083,750.05,1
CUST000008,AGT00086,2702.45,1
CUST000008,AGT00089,1753.01,1
CUST000008,AGT00094,568.52,1
CUST000008,AGT00095,455.49,1
CUST000008,AGT00097,1056.06,1
CUST000008,AGT00104,704.37,1
CUST000008,AGT00106,1974.66,1
CUST000008,AGT00111,1113.14,1
CUST000008,AGT00113,1717.23,1
CUST000008,AGT00142,2100.0,1
CUST000008,AGT00144,1150.75,1
CUST000008,AGT00155,4654.97,2
CUST000008,AGT00161,1808.24,1
CUST000008,AGT00173,1998.47,1
CUST000008,AGT00182,1016.35,1
CUST000008,AGT00187,1364.99,1
CUST000008,AGT00198,2339.65,1
CUST000008,AGT00203,1712.0,1
CUST000008,AGT00207,1544.24,1
CUST000008,AGT00222,1590.28,1
CUST000008,AGT00223,2081.4,1
CUST000008,AGT00242,1183.36,1
CUST000008,AGT00245,1582.61,1
CUST000008,AGT00251,1466.79,1
CUST000008,AGT00277,494.82,1
CUST000008,AGT00279,1288.16,1
CUST000008,AGT00287,2026.53,1
CUST000008,AGT00288,2627.04,1
CUST000008,AGT00294,1808.42,1
CUST000008,AGT00297,712.43,1
CUST000008,CUST000001,825.01,1
CUST000008,CUST000048,1373.28,1
CUST000008,CUST000283,944.8,1
CUST000008,CUST000327,1571.9,1
CUST000008,CUST000471,1031.02,1
CUST000008,CUST000599,634.79,1
CUST000008,CUST000633,3646.88,1
CUST000008,CUST000688,1485.94,1
CUST000008,CUST000830,917.99,1
CUST000008,CUST001054,1270.43,1
CUST000008,CUST001079,1537.75,1
CUST000008,CUST001091,1483.4,1
CUST000008,CUST001119,742.31,1
CUST000008,CUST001132,3024.7,1
CUST000008,CUST001176,1446.07,1
CUST000008,CUST001233,648.35,1
CUST000008,CUST001306,1232.61,1
CUST000008,CUST001323,2128.36,1
CUST000008,CUST001342,3534.63,1
CUST000008,CUST001524,1920.42,1
CUST000008,CUST001547,1379.37,1
CUST000008,CUST001700,1231.7,1
CUST000008,CUST001925,3993.27,1
CUST000008,CUST001981,2743.91,1
CUST000008,CUST001989,1797.92,1
CUST000008,CUST002014,699.86,1
CUST000008,CUST002060,1294.36,1
CUST000008,CUST002149,875.21,1
CUST000008,CUST002213,766.53,1
CUST000008,CUST002316,1719.84,1
CUST000008,CUST002460,1363.58,1
CUST000008,CUST002580,2108.11,1
CUST000008,CUST002650,1159.88,1
CUST000008,CUST002802,706.36,1
CUST000008,CUST002961,893.73,1
CUST000008,CUST003222,1729.23,1
CUST000008,CUST003263,1039.47,1
CUST000008,CUST003305,1673.97,1
CUST000008,CUST003520,426.74,1
CUST000008,CUST003575,1248.12,1
CUST000008,CUST003628,1459.73,1
CUST000008,CUST003681,3263.25,1
CUST000008,CUST003714,914.73,1
CUST000008,CUST003769,1320.35,1
CUST000008,CUST003777,1396.23,1
CUST000008,CUST003874,954.44,1
CUST000008,CUST003878,2450.72,1
CUST000008,CUST003916,1035.18,1
CUST000008,CUST003958,1319.64,1
CUST000008,CUST004052,1130.3,1
CUST000008,CUST004070,7926.08,1
CUST000008,CUST004105,1712.8,1
CUST000008,CUST004145,2717.42,1
CUST000008,CUST004147,2716.36,1
CUST000008,CUST004371,1059.6,1
CUST000008,CUST004489,905.41,1
CUST000008,CUST004583,636.3,1
CUST000008,CUST004662,756.44,1
CUST000008,CUST004675,585.39,1
CUST000008,CUST004837,1253.53,1
CUST000008,CUST004841,4155.11,1
CUST000008,CUST004846,2646.01,1
CUST000008,CUST004943,1882.48,1
CUST000008,CUST004974,1241.6,1
CUST000008,CUST004981,1292.0,1
CUST000008,EXTERNAL_CASHOUT,11071.68,1
CUST000009,AGT00008,371.82,1
CUST000009,AGT00025,277.12,1
CUST000009,AGT00051,544.33,1
CUST000009,AGT00067,520.59,1
CUST000009,AGT00102,1004.36,1
CUST000009,AGT00114,555.9,1
CUST000009,AGT00138,226.67,1
CUST000009,AGT00139,257.01,1
CUST000009,AGT00142,202.42,1
CUST000009,AGT00148,797.42,1
CUST000009,AGT00151,490.64,1
CUST000009,AGT00168,527.12,1
CUST000009,AGT00172,589.75,1
CUST000009,AGT00180,298.65,1
CUST000009,AGT00182,479.82,1
CUST000009,AGT00221,529.32,1
CUST000009,AGT00267,319.81,1
CUST000009,AGT00269,1122.67,1
CUST000009,AGT00273,413.74,1
CUST000009,AGT00280,487.62,1
CUST000009,AGT00294,986.03,3
CUST000009,CUST000116,850.36,1
CUST000009,CUST000154,597.68,1
CUST000009,CUST000346,419.62,1
CUST000009,CUST000362,807.77,1
CUST000009,CUST000428,371.26,1
CUST000009,CUST000486,203.55,1
CUST000009,CUST000520,726.81,1
CUST000009,CUST000566,561.83,1
CUST000009,CUST000737,199.22,1
CUST000009,CUST000789,400.97,1
CUST000009,CUST000977,252.33,1
CUST000009,CUST001084,848.3,1
CUST000009,CUST001260,1284.1,2
CUST000009,CUST001652,503.51,1
CUST000009,CUST001911,380.56,1
CUST000009,CUST002008,335.55,1
CUST000009,CUST002055,251.66,1
CUST000009,CUST002443,325.49,1
CUST000009,CUST002450,577.29,1
CUST000009,CUST002478,506.14,1
CUST000009,CUST002506,717.1,1
CUST000009,CUST002557,734.17,1
CUST000009,CUST002643,754.93,1
CUST000009,CUST002658,364.27,1
CUST000009,CUST002726,672.27,1
CUST000009,CUST002936,453.54,1
CUST000009,CUST002970,464.28,1
CUST000009,CUST003093,671.74,1
CUST000009,CUST003168,375.41,1
CUST000009,CUST003368,639.05,1
CUST000009,CUST003399,1499.61,1
CUST000009,CUST003417,211.14,1
CUST000009,CUST003530,300.74,1
CUST000009,CUST003540,967.29,1
CUST000009,CUST003635,393.41,1
CUST000009,CUST003643,1497.45,1
CUST000009,CUST003683,379.27,1
CUST000009,CUST003849,393.86,1
CUST000009,CUST004196,717.74,1
CUST000009,CUST004264,550.69,1
CUST000009,CUST004380,301.56,1
CUST000009,CUST004436,211.76,1
CUST000009,CUST004548,421.43,1
CUST000009,CUST004738,698.2,1
CUST000009,CUST004919,206.4,1
CUST000009,CUST004975,502.46,1
CUST000009,CUST004986,914.24,1
CUST000010,AGT00013,1134.86,1
CUST000010,AGT00016,1142.53,1
CUST000010,AGT00020,994.16,1
CUST000010,AGT00026,995.11,1
CUST000010,AGT00028,913.96,1
CUST000010,AGT00034,594.83,1
CUST000010,AGT00039,579.75,1
CUST000010,AGT00044,753.2,1
CUST000010,AGT00050,1093.5,1
CUST000010,AGT00053,1047.02,1
CUST000010,AGT00076,643.38,1
CUST000010,AGT00081,1788.22,2
CUST000010,AGT00092,968.77,1
CUST000010,AGT00107,700.13,1
CUST000010,AGT00112,1482.69,3
CUST000010,AGT00113,910.73,1
CUST000010,AGT00115,1761.36,1
CUST000010,AGT00141,448.06,1
CUST000010,AGT00143,802.93,1
CUST000010,AGT00160,1268.67,1
CUST000010,AGT00163,1055.09,1
CUST000010,AGT00167,1351.45,1
CUST000010,AGT00170,543.19,1
CUST000010,AGT00174,1041.85,1
CUST000010,AGT00180,1193.69,1
CUST000010,AGT00184,537.98,1
CUST000010,AGT00187,1032.94,1
CUST000010,AGT00196,2303.04,1
CUST000010,AGT00199,1193.11,1
CUST000010,AGT00202,464.9,1
CUST000010,AGT00204,472.14,1
CUST000010,AGT00211,1870.18,1
CUST000010,AGT00227,1546.32,1
CUST000010,AGT00228,2171.8199999999997,2
CUST000010,AGT00230,806.18,1
CUST000010,AGT00232,2041.34,1
CUST000010,AGT00235,948.74,1
CUST000010,AGT00246,596.11,1
CUST000010,AGT00267,363.13,1
CUST000010,AGT00281,1556.14,1
CUST000010,AGT00293,438.89,1
CUST000010,AGT00296,1150.09,1
CUST000010,CUST000057,1675.1,1
CUST000010,CUST000385,320.5,1
CUST000010,CUST000403,1207.93,1
CUST000010,CUST000739,1079.6,1
CUST000010,CUST000766,1300.94,1
CUST000010,CUST000838,698.17,1
CUST000010,CUST001093,1528.8,1
CUST000010,CUST001274,652.74,1
CUST000010,CUST001399,1088.8,1
CUST000010,CUST001402,486.84,1
CUST000010,CUST001682,328.77,1
CUST000010,CUST001718,1031.72,1
CUST000010,CUST001786,2678.96,1
CUST000010,CUST001834,670.38,1
CUST000010,CUST001858,3121.68,1
CUST000010,CUST002125,950.43,1
CUST000010,CUST002189,962.76,1
CUST000010,CUST002295,798.96,1
CUST000010,CUST002298,730.24,1
CUST000010,CUST002527,1005.29,1
CUST000010,CUST002590,989.77,1
CUST000010,CUST002607,1309.77,1
CUST000010,CUST002784,580.81,1
CUST000010,CUST003011,1407.97,1
CUST000010,CUST003125,480.91,1
CUST000010,CUST003443,536.13,1
CUST000010,CUST003509,1384.24,1
CUST000010,CUST003517,403.44,1
CUST000010,CUST003577,523.78,1
CUST000010,CUST003578,558.9,1
CUST000010,CUST003622,448.14,1
CUST000010,CUST003632,898.93,1
CUST000010,CUST004047,913.75,1
CUST000010,CUST004189,386.87,1
CUST000010,CUST004276,1713.36,1
CUST000010,CUST004338,1787.49,1
CUST000010,CUST004441,532.2,1
CUST000010,CUST004461,808.44,1
CUST000010,CUST004479,568.95,1
CUST000010,CUST004495,663.35,1
CUST000010,CUST004505,1491.63,1
CUST000010,CUST004532,706.63,1
CUST000010,CUST004645,747.72,1
CUST000010,CUST004759,313.37,1
CUST000010,CUST004829,655.82,1
CUST000010,CUST004836,490.26,1
CUST000010,CUST004863,695.74,1
CUST000010,CUST004882,670.12,1
CUST000010,CUST004929,10337.56,1
CUST000010,CUST004936,287.92,1
CUST000010,CUST004985,1529.17,1
CUST000011,AGT00014,117.47,1
CUST000011,AGT00019,124.11,1
CUST000011,AGT00026,204.53,1
CUST000011,AGT00027,186.3,1
CUST000011,AGT00029,231.0,1
CUST000011,AGT00042,232.79000000000002,2
CUST000011,AGT00045,97.8,1
CUST000011,AGT00048,123.18,1
CUST000011,AGT00049,40.52,1
CUST000011,AGT00063,159.06,1
CUST000011,AGT00080,105.96,1
CUST000011,AGT00106,105.86,2
CUST000011,AGT00112,99.5,1
CUST000011,AGT00123,62.28,1
CUST000011,AGT00130,104.97,1
CUST000011,AGT00137,57.57,1
CUST000011,AGT00149,68.65,1
CUST000011,AGT00155,107.21,1
CUST000011,AGT00162,120.58,1
CUST000011,AGT00171,64.76,1
CUST000011,AGT00196,92.37,1
CUST000011,AGT00207,138.13,1
CUST000011,AGT00212,130.78,1
CUST000011,AGT00216,129.0,1
CUST000011,AGT00227,112.32,1
CUST000011,AGT00230,257.05,2
CUST000011,AGT00231,125.97,1
CUST000011,AGT00246,156.31,1
CUST000011,AGT00278,140.75,1
CUST000011,AGT00287,66.4,1
CUST000011,AGT00294,99.52,1
CUST000011,CUST000066,254.57,1
CUST000011,CUST000132,148.99,1
CUST000011,CUST000202,125.11,1
CUST000011,CUST000220,78.61,1
CUST000011,CUST000262,228.52,1
CUST000011,CUST000306,27.04,1
CUST000011,CUST000513,42.62,1
CUST000011,CUST000531,180.44,1
CUST000011,CUST000543,61.24,1
CUST000011,CUST000590,39.2,1
CUST000011,CUST000638,201.36,1
CUST000011,CUST000690,123.42,1
CUST000011,CUST000702,209.25,1
CUST000011,CUST000741,149.84,1
CUST000011,CUST000851,214.86,1
CUST000011,CUST000855,199.02,1
CUST000011,CUST000954,119.06,1
CUST000011,CUST001027,53.81,1
CUST000011,CUST001048,72.74,1
CUST000011,CUST001050,84.33,1
CUST000011,CUST001052,107.9,1
CUST000011,CUST001103,61.88,1
CUST000011,CUST001169,170.72,1
CUST000011,CUST001206,89.32,1
CUST000011,CUST001219,152.21,1
CUST000011,CUST001226,24.92,1
CUST000011,CUST001312,67.1,1
CUST000011,CUST001323,116.29,1
CUST000011,CUST001447,78.04,1
CUST000011,CUST001465,97.12,1
CUST000011,CUST001468,167.03,1
CUST000011,CUST001710,75.76,1
CUST000011,CUST001791,66.16,1
CUST000011,CUST001857,259.13,1
CUST000011,CUST001867,105.98,1
CUST000011,CUST001899,176.8,1
CUST000011,CUST001901,223.6,1
CUST000011,CUST001912,230.55,1
CUST000011,CUST001970,83.94,1
CUST000011,CUST002009,256.01,1
CUST000011,CUST002095,115.74,1
CUST000011,CUST002135,112.41,1
